[00:38:34] Nagato_Brasco sebzest kapott tole: Edie_Morra | sebzes: Ököl (-6.6) | E/P: 150.0/150.0 (S: 150.0/150.0) | Tav: 0.7
[00:38:35] Nagato_Brasco sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.9) | E/P: 150.0/150.0 (S: 150.0/150.0) | Tav: 0.7
[00:38:35] Nagato_Brasco sebzest kapott tole: Edie_Morra | sebzes: Ököl (-5.2) | E/P: 150.0/150.0 (S: 150.0/150.0) | Tav: 0.7
[00:38:36] Nagato_Brasco sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.9) | E/P: 150.0/150.0 (S: 150.0/150.0) | Tav: 0.7
[00:38:37] Nagato_Brasco sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.9) | E/P: 150.0/150.0 (S: 150.0/150.0) | Tav: 0.7
[00:38:38] Nagato_Brasco sebzest kapott tole: Edie_Morra | sebzes: Ököl (-5.2) | E/P: 150.0/150.0 (S: 150.0/150.0) | Tav: 0.7
[00:38:39] Nagato_Brasco sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.9) | E/P: 150.0/150.0 (S: 150.0/150.0) | Tav: 0.7
[00:38:40] Nagato_Brasco sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.9) | E/P: 150.0/150.0 (S: 150.0/150.0) | Tav: 0.7
[00:38:41] Nagato_Brasco sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.9) | E/P: 150.0/150.0 (S: 150.0/150.0) | Tav: 0.7
[00:52:33] Connor_O_Neill sebzest kapott tole: Angelina_Freeman | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.6
[00:52:33] Connor_O_Neill sebzest kapott tole: Angelina_Freeman | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.6
[00:52:34] Connor_O_Neill sebzest kapott tole: Angelina_Freeman | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.6
[00:57:03] Archie_B_Hollywood sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.2
[00:57:04] Archie_B_Hollywood sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.9
[01:09:00] Algernon_Youngmay sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 30.0/5.0 (S: 30.0/5.0) | Tav: 1.0
[03:29:54] Nagato_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 0.7
[03:57:53] Nagato_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 0.8
[04:05:38] Nagato_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 10000.0
[04:06:53] Nagato_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 0.7
