[01:52:55] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 15.0/0.0 (S: 15.0/0.0) | Tav: 1.5
[01:52:55] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 15.0/0.0 (S: 15.0/0.0) | Tav: 2.4
[01:52:56] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 15.0/0.0 (S: 15.0/0.0) | Tav: 1.3
[01:52:57] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 15.0/0.0 (S: 15.0/0.0) | Tav: 1.3
[01:52:57] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 15.0/0.0 (S: 15.0/0.0) | Tav: 2.2
[01:52:58] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 15.0/0.0 (S: 15.0/0.0) | Tav: 1.6
[01:52:58] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 15.0/0.0 (S: 15.0/0.0) | Tav: 0.7
[01:52:59] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 15.0/0.0 (S: 15.0/0.0) | Tav: 2.4
[01:52:59] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 15.0/0.0 (S: 15.0/0.0) | Tav: 4.1
[01:53:00] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 15.0/0.0 (S: 15.0/0.0) | Tav: 3.6
[01:53:00] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 15.0/0.0 (S: 15.0/0.0) | Tav: 3.6
[01:53:01] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 15.0/0.0 (S: 15.0/0.0) | Tav: 3.6
[01:53:01] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 15.0/0.0 (S: 15.0/0.0) | Tav: 3.6
[01:53:01] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 15.0/0.0 (S: 15.0/0.0) | Tav: 3.6
[01:53:02] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 15.0/0.0 (S: 15.0/0.0) | Tav: 3.6
[01:53:03] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 15.0/0.0 (S: 15.0/0.0) | Tav: 3.6
[01:53:03] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 15.0/0.0 (S: 15.0/0.0) | Tav: 3.6
[01:53:58] Steve_Aoki sebzest kapott tole: Sergei_B_Dueno | sebzes: M4 (-2.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.3
[01:53:59] Sergei_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: M4 (-2.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.5
[01:53:59] Steve_Aoki sebzest kapott tole: Tom_Torres | sebzes: M4 (-9.9) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 22.2
[01:53:59] Sergei_B_Dueno sebzest kapott tole: Tom_Torres | sebzes: M4 (-9.9) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 24.1
[01:54:00] Sergei_B_Dueno sebzest kapott tole: Tom_Torres | sebzes: M4 (-9.9) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 23.8
[01:54:13] Sergei_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 17.2
[01:54:20] Sergei_B_Dueno sebzest kapott tole: Tom_Torres | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 20.3
[01:54:25] Steve_Aoki sebzest kapott tole: Tom_Torres | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 9.2
[01:54:30] Steve_Aoki sebzest kapott tole: Tom_Torres | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 14.7
[01:54:30] Steve_Aoki sebzest kapott tole: Tom_Torres | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 14.6
[01:54:35] Tom_Torres sebzest kapott tole: Sergei_B_Dueno | sebzes: MP5 (-8.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 22.8
