[00:39:09] NPC_Vonatsofor_LS_2 sebzest kapott tole: David_Toretto | sebzes: MP5 (-8.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 2.1
[00:39:17] Elwood_JR_Sorrentino sebzest kapott tole: Antonn_Fedorov | sebzes: M4 (-9.9) | E/P: 141.0/100.0 (S: 141.0/100.0) | Tav: 22.2
[00:39:17] Elwood_JR_Sorrentino sebzest kapott tole: Antonn_Fedorov | sebzes: M4 (-9.9) | E/P: 141.0/80.0 (S: 141.0/80.0) | Tav: 22.2
[00:39:17] Antonn_Fedorov sebzest kapott tole: Elwood_JR_Sorrentino | sebzes: M4 (-9.9) | E/P: 143.0/60.0 (S: 143.0/60.0) | Tav: 22.2
[00:39:17] Antonn_Fedorov sebzest kapott tole: Elwood_JR_Sorrentino | sebzes: M4 (-9.9) | E/P: 143.0/40.0 (S: 143.0/40.0) | Tav: 22.2
[00:39:17] Antonn_Fedorov sebzest kapott tole: Elwood_JR_Sorrentino | sebzes: M4 (-9.9) | E/P: 143.0/20.0 (S: 143.0/20.0) | Tav: 22.2
[00:39:18] Antonn_Fedorov sebzest kapott tole: Elwood_JR_Sorrentino | sebzes: M4 (-9.9) | E/P: 143.0/0.0 (S: 143.0/0.0) | Tav: 22.2
[00:39:18] Antonn_Fedorov sebzest kapott tole: Elwood_JR_Sorrentino | sebzes: M4 (-9.9) | E/P: 122.8/0.0 (S: 122.8/0.0) | Tav: 22.2
[00:41:16] Kevin_R_Sorrentino sebzest kapott tole: Dominic_Vincenzo | sebzes: Shotgun (-13.2) | E/P: 135.0/100.0 (S: 135.0/100.0) | Tav: 19.6
[00:41:19] Kevin_R_Sorrentino sebzest kapott tole: Dominic_Vincenzo | sebzes: Shotgun (-33.0) | E/P: 135.0/86.8 (S: 135.0/86.8) | Tav: 22.3
[00:41:20] Kevin_R_Sorrentino sebzest kapott tole: Dominic_Vincenzo | sebzes: Shotgun (-33.0) | E/P: 135.0/53.8 (S: 135.0/53.8) | Tav: 22.6
