[03:30:42] Edie_Morra sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-3.9) | E/P: 112.0/0.0 (S: 112.0/0.0) | Tav: 0.7
[03:30:43] Edie_Morra sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-6.6) | E/P: 108.1/0.0 (S: 108.1/0.0) | Tav: 0.7
[03:30:43] Edie_Morra sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-6.6) | E/P: 101.5/0.0 (S: 101.5/0.0) | Tav: 0.7
[03:30:44] Edie_Morra sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-6.6) | E/P: 94.9/0.0 (S: 94.9/0.0) | Tav: 0.7
[03:30:45] Edie_Morra sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-3.9) | E/P: 88.3/0.0 (S: 88.3/0.0) | Tav: 0.7
[03:31:07] Milinte_Brasco sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[03:31:08] Milinte_Brasco sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[03:31:08] Milinte_Brasco sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[03:31:09] Milinte_Brasco sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[03:31:10] Milinte_Brasco sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-2.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[03:31:11] Milinte_Brasco sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[03:31:12] Milinte_Brasco sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.2
[03:31:13] Milinte_Brasco sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.8
[03:31:14] Milinte_Brasco sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[03:31:17] Milinte_Brasco sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[03:31:18] Milinte_Brasco sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-2.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[03:31:22] Milinte_Brasco sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.2
[03:31:27] Edie_Morra sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-1.3) | E/P: 84.3/0.0 (S: 84.3/0.0) | Tav: 0.7
[03:31:27] Edie_Morra sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-2.3) | E/P: 83.0/0.0 (S: 83.0/0.0) | Tav: 0.7
[03:31:28] Edie_Morra sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-3.9) | E/P: 80.7/0.0 (S: 80.7/0.0) | Tav: 0.7
