[10:10:00] Cody_Aciano sebzest kapott tole: Paul_Escobar | sebzes: MP5 (-8.2) | E/P: 144.0/100.0 (S: 144.0/100.0) | Tav: 26.4
[10:10:04] Cody_Aciano sebzest kapott tole: Paul_D_Cortez | sebzes: MP5 (-8.2) | E/P: 144.0/100.0 (S: 144.0/100.0) | Tav: 20.4
[10:10:04] Cody_Aciano sebzest kapott tole: Paul_D_Cortez | sebzes: MP5 (-8.2) | E/P: 144.0/100.0 (S: 144.0/100.0) | Tav: 20.6
[10:10:04] Cody_Aciano sebzest kapott tole: Paul_D_Cortez | sebzes: MP5 (-8.2) | E/P: 144.0/100.0 (S: 144.0/100.0) | Tav: 20.8
[10:10:06] Cody_Aciano sebzest kapott tole: Paul_Escobar | sebzes: MP5 (-8.2) | E/P: 144.0/83.5 (S: 144.0/83.5) | Tav: 34.2
[10:10:07] Cody_Aciano sebzest kapott tole: Paul_Escobar | sebzes: MP5 (-8.2) | E/P: 144.0/75.2 (S: 144.0/75.2) | Tav: 35.7
[10:10:07] Cody_Aciano sebzest kapott tole: Paul_D_Cortez | sebzes: MP5 (-8.2) | E/P: 144.0/75.2 (S: 144.0/75.2) | Tav: 33.5
[10:10:08] Cody_Aciano sebzest kapott tole: Paul_D_Cortez | sebzes: MP5 (-8.2) | E/P: 144.0/75.2 (S: 144.0/75.2) | Tav: 41.1
[10:12:47] Paul_Escobar sebzest kapott tole: Nelson_Washington | sebzes: Sniper (-41.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 51.8
[10:12:50] Paul_Escobar sebzest kapott tole: Nelson_Washington | sebzes: Sniper (-41.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 52.6
[10:12:53] Paul_Escobar sebzest kapott tole: Nelson_Washington | sebzes: Sniper (-41.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 50.2
[10:13:09] Paul_Escobar sebzest kapott tole: Nelson_Washington | sebzes: Sniper (-41.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 67.6
[10:13:11] Paul_D_Cortez sebzest kapott tole: Nelson_Washington | sebzes: Sniper (-41.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 69.3
[10:13:12] Paul_D_Cortez sebzest kapott tole: Nelson_Washington | sebzes: Sniper (-41.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 69.3
[10:13:16] Paul_D_Cortez sebzest kapott tole: Nelson_Washington | sebzes: Sniper (-41.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 69.4
[10:13:47] Nelson_Washington sebzest kapott tole: Horvath_Adrian | sebzes: Sniper (-41.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 132.2
[10:13:47] Horvath_Adrian sebzest kapott tole: Nelson_Washington | sebzes: Sniper (-41.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 132.2
[10:13:49] Horvath_Adrian sebzest kapott tole: Nelson_Washington | sebzes: Sniper (-41.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 10000.0
[10:13:52] Horvath_Adrian sebzest kapott tole: Nelson_Washington | sebzes: Sniper (-41.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 10000.0
[10:16:17] Paul_Escobar sebzest kapott tole: Nelson_Washington | sebzes: Sniper (-41.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 55.4
[10:16:19] Paul_Escobar sebzest kapott tole: Nelson_Washington | sebzes: Sniper (-41.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 55.3
[10:16:20] Paul_Escobar sebzest kapott tole: Nelson_Washington | sebzes: Sniper (-41.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 56.1
[10:16:28] Nelson_Washington sebzest kapott tole: Paul_Escobar | sebzes: MP5 (-8.2) | E/P: 150.0/58.7 (S: 150.0/58.7) | Tav: 7.6
[10:16:28] Nelson_Washington sebzest kapott tole: Paul_Escobar | sebzes: MP5 (-8.2) | E/P: 150.0/50.5 (S: 150.0/50.5) | Tav: 7.1
[10:16:31] Nelson_Washington sebzest kapott tole: Paul_Escobar | sebzes: MP5 (-8.2) | E/P: 150.0/50.5 (S: 150.0/50.5) | Tav: 10.1
[10:16:31] Paul_Escobar sebzest kapott tole: Nelson_Washington | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 9.1
[10:16:31] Paul_Escobar sebzest kapott tole: Nelson_Washington | sebzes: M4 (-9.9) | E/P: 150.0/80.0 (S: 150.0/80.0) | Tav: 9.1
[10:16:32] Paul_Escobar sebzest kapott tole: Nelson_Washington | sebzes: M4 (-9.9) | E/P: 150.0/60.0 (S: 150.0/60.0) | Tav: 9.2
[10:16:32] Nelson_Washington sebzest kapott tole: Paul_Escobar | sebzes: MP5 (-8.2) | E/P: 150.0/42.2 (S: 150.0/42.2) | Tav: 9.2
[10:16:32] Paul_Escobar sebzest kapott tole: Nelson_Washington | sebzes: M4 (-9.9) | E/P: 150.0/40.0 (S: 150.0/40.0) | Tav: 9.1
[10:16:33] Paul_Escobar sebzest kapott tole: Nelson_Washington | sebzes: M4 (-9.9) | E/P: 150.0/40.0 (S: 150.0/40.0) | Tav: 9.2
[10:16:33] Nelson_Washington sebzest kapott tole: Paul_Escobar | sebzes: MP5 (-8.2) | E/P: 150.0/34.0 (S: 150.0/34.0) | Tav: 9.3
[10:16:33] Nelson_Washington sebzest kapott tole: Paul_Escobar | sebzes: MP5 (-8.2) | E/P: 150.0/25.7 (S: 150.0/25.7) | Tav: 9.3
[10:23:52] James_Aciano sebzest kapott tole: Steve_Sanchez | sebzes: MP5 (-8.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 23.3
[10:23:52] James_Aciano sebzest kapott tole: Steve_Sanchez | sebzes: MP5 (-8.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 23.1
[10:23:53] Steve_Sanchez sebzest kapott tole: Paul_D_Cortez | sebzes: AK47 (-9.9) | E/P: 117.0/100.0 (S: 117.0/100.0) | Tav: 21.2
[10:23:54] Steve_Sanchez sebzest kapott tole: Paul_D_Cortez | sebzes: AK47 (-9.9) | E/P: 117.0/60.0 (S: 117.0/60.0) | Tav: 23.2
[10:23:54] Steve_Sanchez sebzest kapott tole: Paul_D_Cortez | sebzes: AK47 (-9.9) | E/P: 117.0/20.0 (S: 117.0/20.0) | Tav: 23.9
[10:23:55] James_Aciano sebzest kapott tole: Steve_Sanchez | sebzes: MP5 (-8.2) | E/P: 150.0/91.7 (S: 150.0/91.7) | Tav: 21.7
[10:23:55] Steve_Sanchez sebzest kapott tole: Paul_D_Cortez | sebzes: AK47 (-9.9) | E/P: 97.0/0.0 (S: 97.0/0.0) | Tav: 25.4
[10:23:55] James_Aciano sebzest kapott tole: Steve_Sanchez | sebzes: MP5 (-8.2) | E/P: 150.0/91.7 (S: 150.0/91.7) | Tav: 21.7
[10:23:55] Steve_Sanchez sebzest kapott tole: Paul_D_Cortez | sebzes: AK47 (-9.9) | E/P: 57.0/0.0 (S: 57.0/0.0) | Tav: 26.2
[10:23:55] Steve_Sanchez sebzest kapott tole: Paul_D_Cortez | sebzes: AK47 (-9.9) | E/P: 17.0/0.0 (S: 17.0/0.0) | Tav: 26.7
[10:23:55] Steve_Sanchez sebzest kapott tole: Paul_D_Cortez | sebzes: AK47 (-9.9) | E/P: 15.0/0.0 (S: 15.0/0.0) | Tav: 27.0
[10:41:47] Dan_B_Hollywood sebzest kapott tole: Oberth_Andras | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 10000.0
[10:41:57] James_Aciano sebzest kapott tole: Dan_B_Hollywood | sebzes: Combat (-39.6) | E/P: 97.6/83.5 (S: 97.6/83.5) | Tav: 1.8
[10:41:57] James_Aciano sebzest kapott tole: Nelson_Washington | sebzes: MP5 (-8.2) | E/P: 97.6/83.5 (S: 97.6/83.5) | Tav: 2.5
[10:41:57] James_Aciano sebzest kapott tole: Nelson_Washington | sebzes: MP5 (-8.2) | E/P: 97.6/75.2 (S: 97.6/75.2) | Tav: 2.5
[10:41:57] James_Aciano sebzest kapott tole: Nelson_Washington | sebzes: MP5 (-8.2) | E/P: 97.6/75.2 (S: 97.6/75.2) | Tav: 2.5
[10:41:57] James_Aciano sebzest kapott tole: Nelson_Washington | sebzes: MP5 (-8.2) | E/P: 97.6/58.7 (S: 97.6/58.7) | Tav: 2.5
[10:41:57] James_Aciano sebzest kapott tole: Dan_B_Hollywood | sebzes: Combat (-14.8) | E/P: 97.6/58.7 (S: 97.6/58.7) | Tav: 1.6
[10:42:20] Dan_B_Hollywood sebzest kapott tole: Oberth_Andras | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 0.9
[10:47:21] George_B_Hollywood sebzest kapott tole: Bryan_B_Hollywood | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 0.7
[10:48:08] Daryl_Aciano sebzest kapott tole: Kerim_Yilmaz | sebzes: Ököl (-1.3) | E/P: 150.0/55.0 (S: 150.0/55.0) | Tav: 1.0
