[00:05:35] Aldo_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 11.1
[00:05:35] Aldo_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 11.5
[00:05:35] Aldo_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 11.6
[00:05:35] Aldo_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 11.5
[00:05:35] Aldo_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 11.3
[00:05:36] Aldo_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 11.1
[00:05:42] Tyler_Wish sebzest kapott tole: Aldo_B_Dueno | sebzes: MP5 (-8.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 17.1
[00:05:47] Aldo_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 9.0
[00:05:53] Tyler_Wish sebzest kapott tole: Aldo_B_Dueno | sebzes: MP5 (-8.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 34.1
[00:05:54] Tyler_Wish sebzest kapott tole: Aldo_B_Dueno | sebzes: MP5 (-8.2) | E/P: 141.7/0.0 (S: 141.7/0.0) | Tav: 33.4
[00:05:54] Aldo_B_Dueno sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 33.2
[00:05:54] Aldo_B_Dueno sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 33.2
[00:05:54] Aldo_B_Dueno sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 33.1
[00:05:57] Tyler_Wish sebzest kapott tole: Steve_Aoki | sebzes: M4 (-9.9) | E/P: 146.5/0.0 (S: 146.5/0.0) | Tav: 8.2
[00:06:03] Tyler_Wish sebzest kapott tole: Aldo_B_Dueno | sebzes: MP5 (-8.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 19.9
[00:06:15] Steve_Aoki sebzest kapott tole: Aldo_B_Dueno | sebzes: MP5 (-8.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 8.6
[00:06:15] Aldo_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: MP5 (-8.2) | E/P: 131.0/0.0 (S: 131.0/0.0) | Tav: 8.5
[00:06:15] Steve_Aoki sebzest kapott tole: Aldo_B_Dueno | sebzes: MP5 (-8.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 8.5
[00:06:15] Steve_Aoki sebzest kapott tole: Aldo_B_Dueno | sebzes: MP5 (-8.2) | E/P: 141.7/0.0 (S: 141.7/0.0) | Tav: 8.5
[00:06:16] Aldo_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: MP5 (-8.2) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 8.5
[00:06:24] Aldo_B_Dueno sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 135.0/0.0 (S: 135.0/0.0) | Tav: 15.5
[00:06:24] Aldo_B_Dueno sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 115.0/0.0 (S: 115.0/0.0) | Tav: 14.5
[00:06:24] Aldo_B_Dueno sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 95.0/0.0 (S: 95.0/0.0) | Tav: 14.5
[00:06:25] Aldo_B_Dueno sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 14.5
[00:06:25] Aldo_B_Dueno sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 14.5
[00:06:25] Aldo_B_Dueno sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 14.4
[00:06:31] Tyler_Wish sebzest kapott tole: Steve_Aoki | sebzes: MP5 (-8.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 10.8
[00:06:40] Aldo_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: MP5 (-8.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 16.3
[00:06:47] Aldo_B_Dueno sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 24.6
[00:06:47] Tyler_Wish sebzest kapott tole: Aldo_B_Dueno | sebzes: MP5 (-8.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 24.6
[00:06:55] Steve_Aoki sebzest kapott tole: Aldo_B_Dueno | sebzes: MP5 (-8.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 11.8
[00:07:00] Steve_Aoki sebzest kapott tole: Aldo_B_Dueno | sebzes: MP5 (-8.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 2.3
[00:07:00] Steve_Aoki sebzest kapott tole: Aldo_B_Dueno | sebzes: MP5 (-8.2) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 2.5
[00:07:06] Tyler_Wish sebzest kapott tole: Steve_Aoki | sebzes: MP5 (-8.2) | E/P: 141.7/0.0 (S: 141.7/0.0) | Tav: 8.2
[00:07:13] Tyler_Wish sebzest kapott tole: Steve_Aoki | sebzes: MP5 (-8.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 24.9
[00:07:13] Tyler_Wish sebzest kapott tole: Steve_Aoki | sebzes: MP5 (-8.2) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 24.7
[00:07:21] Steve_Aoki sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 9.1
[00:07:21] Steve_Aoki sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 8.1
[00:07:22] Steve_Aoki sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 8.1
[00:07:22] Steve_Aoki sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 90.0/0.0 (S: 90.0/0.0) | Tav: 8.1
[00:07:22] Tyler_Wish sebzest kapott tole: Steve_Aoki | sebzes: MP5 (-8.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 8.1
[00:07:22] Tyler_Wish sebzest kapott tole: Steve_Aoki | sebzes: MP5 (-8.2) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 8.2
[00:07:27] Tyler_Wish sebzest kapott tole: Steve_Aoki | sebzes: MP5 (-8.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 5.9
[00:07:35] Steve_Aoki sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 143.0/0.0 (S: 143.0/0.0) | Tav: 7.1
[00:07:38] Tyler_Wish sebzest kapott tole: Aldo_B_Dueno | sebzes: MP5 (-8.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 15.5
[00:07:38] Tyler_Wish sebzest kapott tole: Aldo_B_Dueno | sebzes: MP5 (-8.2) | E/P: 141.7/0.0 (S: 141.7/0.0) | Tav: 15.5
[00:07:38] Tyler_Wish sebzest kapott tole: Aldo_B_Dueno | sebzes: MP5 (-8.2) | E/P: 133.5/0.0 (S: 133.5/0.0) | Tav: 15.4
[00:07:38] Tyler_Wish sebzest kapott tole: Aldo_B_Dueno | sebzes: MP5 (-8.2) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 15.4
[00:07:47] Tyler_Wish sebzest kapott tole: Steve_Aoki | sebzes: MP5 (-8.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.4
[00:07:48] Tyler_Wish sebzest kapott tole: Steve_Aoki | sebzes: MP5 (-8.2) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 1.3
