[13:43:23] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[13:43:24] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[13:43:24] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[13:43:25] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[13:43:26] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[13:43:27] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[13:43:27] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[13:43:28] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[13:43:28] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[13:43:29] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[13:43:30] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[13:43:31] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[13:43:32] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[13:43:32] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[13:43:33] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[13:44:44] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[13:44:45] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[13:44:46] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.5
[13:44:46] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.5
[13:44:47] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[13:44:48] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[13:44:49] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[13:44:49] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[13:45:02] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.9
[13:45:02] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.8
[13:45:03] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.9
[13:45:04] Connor_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-3.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.9
