[03:26:30] Marcell_O_Neill sebzest kapott tole: Tom_Torres | sebzes: Ököl (-1.3) | E/P: 18.6/0.0 (S: 18.6/0.0) | Tav: 1.4
[03:26:31] Marcell_O_Neill sebzest kapott tole: Tom_Torres | sebzes: Ököl (-2.3) | E/P: 17.3/0.0 (S: 17.3/0.0) | Tav: 1.2
[03:26:31] Marcell_O_Neill sebzest kapott tole: Tom_Torres | sebzes: Ököl (-3.9) | E/P: 15.0/0.0 (S: 15.0/0.0) | Tav: 1.3
[03:26:46] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 78.9/0.0 (S: 78.9/0.0) | Tav: 0.7
[03:26:46] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.3) | E/P: 77.6/0.0 (S: 77.6/0.0) | Tav: 0.7
[03:26:46] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-3.9) | E/P: 75.3/0.0 (S: 75.3/0.0) | Tav: 0.8
[03:26:50] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-3.9) | E/P: 71.3/0.0 (S: 71.3/0.0) | Tav: 1.0
[03:26:50] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.9) | E/P: 67.3/0.0 (S: 67.3/0.0) | Tav: 1.2
[03:26:51] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 64.4/0.0 (S: 64.4/0.0) | Tav: 0.9
[03:26:51] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.3) | E/P: 63.1/0.0 (S: 63.1/0.0) | Tav: 0.7
[03:26:52] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-3.9) | E/P: 60.7/0.0 (S: 60.7/0.0) | Tav: 1.4
[03:26:54] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-54.1) | E/P: 56.8/0.0 (S: 56.8/0.0) | Tav: 0.8
[03:34:49] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.0
[03:34:51] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 148.6/0.0 (S: 148.6/0.0) | Tav: 0.8
[03:34:52] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 147.3/0.0 (S: 147.3/0.0) | Tav: 0.8
[03:34:53] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 146.0/0.0 (S: 146.0/0.0) | Tav: 0.8
[03:40:55] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 144.7/0.0 (S: 144.7/0.0) | Tav: 0.4
[03:40:55] Marcell_O_Neill sebzest kapott tole: Tom_Torres | sebzes: Ököl (-2.6) | E/P: 99.0/0.0 (S: 99.0/0.0) | Tav: 0.4
[03:40:55] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.9) | E/P: 143.3/0.0 (S: 143.3/0.0) | Tav: 0.7
[03:40:56] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-3.9) | E/P: 140.4/0.0 (S: 140.4/0.0) | Tav: 1.3
[03:41:54] Elwood_JR_Sorrentino sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 30.0/83.5 (S: 30.0/83.5) | Tav: 0.9
[03:41:55] Elwood_JR_Sorrentino sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 30.0/82.1 (S: 30.0/82.1) | Tav: 1.2
[03:41:55] Elwood_JR_Sorrentino sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 30.0/80.8 (S: 30.0/80.8) | Tav: 0.7
[08:27:15] Toth_Martin sebzest kapott tole: Edie_Morra | sebzes: Ököl (-6.6) | E/P: 100.2/5.0 (S: 100.2/5.0) | Tav: 1.3
[08:27:15] Toth_Martin sebzest kapott tole: Edie_Morra | sebzes: Ököl (-6.6) | E/P: 98.6/0.0 (S: 98.6/0.0) | Tav: 1.3
[08:30:30] Thomas_Berzerk sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.3) | E/P: 23.0/100.0 (S: 23.0/100.0) | Tav: 0.7
[08:34:42] Toth_Martin sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.3) | E/P: 92.0/5.0 (S: 92.0/5.0) | Tav: 0.7
[08:34:42] Toth_Martin sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.3) | E/P: 92.0/3.6 (S: 92.0/3.6) | Tav: 1.1
[08:37:47] Thomas_Berzerk sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.3) | E/P: 23.0/98.6 (S: 23.0/98.6) | Tav: 0.5
[08:37:47] Thomas_Berzerk sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.3) | E/P: 23.0/97.3 (S: 23.0/97.3) | Tav: 0.9
[08:37:48] Thomas_Berzerk sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.3) | E/P: 23.0/96.0 (S: 23.0/96.0) | Tav: 1.1
[08:37:48] Thomas_Berzerk sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.3) | E/P: 23.0/94.7 (S: 23.0/94.7) | Tav: 0.8
[08:37:49] Thomas_Berzerk sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.3) | E/P: 23.0/93.4 (S: 23.0/93.4) | Tav: 0.7
[08:37:55] Thomas_Berzerk sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.9) | E/P: 23.0/92.0 (S: 23.0/92.0) | Tav: 0.7
[08:37:57] Thomas_Berzerk sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.9) | E/P: 23.0/90.0 (S: 23.0/90.0) | Tav: 0.7
[08:37:59] Thomas_Berzerk sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.9) | E/P: 23.0/88.1 (S: 23.0/88.1) | Tav: 0.3
[08:37:59] Thomas_Berzerk sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.9) | E/P: 23.0/86.1 (S: 23.0/86.1) | Tav: 0.6
[08:38:14] Thomas_Berzerk sebzest kapott tole: Edie_Morra | sebzes: MP5 (-8.2) | E/P: 23.0/84.1 (S: 23.0/84.1) | Tav: 2.9
[08:38:14] Thomas_Berzerk sebzest kapott tole: Edie_Morra | sebzes: MP5 (-8.2) | E/P: 23.0/75.9 (S: 23.0/75.9) | Tav: 2.9
[08:38:14] Thomas_Berzerk sebzest kapott tole: Edie_Morra | sebzes: MP5 (-8.2) | E/P: 23.0/67.6 (S: 23.0/67.6) | Tav: 2.9
[08:38:14] Thomas_Berzerk sebzest kapott tole: Edie_Morra | sebzes: MP5 (-8.2) | E/P: 23.0/59.4 (S: 23.0/59.4) | Tav: 2.9
[08:55:08] Thomas_Berzerk sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 22.0/51.1 (S: 22.0/51.1) | Tav: 12.1
[08:55:08] Thomas_Berzerk sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 22.0/31.1 (S: 22.0/31.1) | Tav: 12.2
[08:55:08] Thomas_Berzerk sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 22.0/11.1 (S: 22.0/11.1) | Tav: 12.2
[08:56:12] Toth_Martin sebzest kapott tole: Edie_Morra | sebzes: M4 (-20.0) | E/P: 92.0/2.3 (S: 92.0/2.3) | Tav: 10.2
[09:02:12] Thomas_Berzerk sebzest kapott tole: Edie_Morra | sebzes: MP5 (-8.2) | E/P: 9.8/0.0 (S: 9.8/0.0) | Tav: 2.0
[09:06:12] Joker_Creed sebzest kapott tole: Steve_J_Sorrentino | sebzes: M4 (-20.0) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 36.0
[09:06:13] Joker_Creed sebzest kapott tole: Steve_J_Sorrentino | sebzes: M4 (-20.0) | E/P: 135.0/0.0 (S: 135.0/0.0) | Tav: 39.5
[09:06:13] Joker_Creed sebzest kapott tole: Steve_J_Sorrentino | sebzes: M4 (-20.0) | E/P: 115.0/0.0 (S: 115.0/0.0) | Tav: 42.1
[09:42:58] Kevin_L_Saltzman sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.3) | E/P: 99.2/67.0 (S: 99.2/67.0) | Tav: 0.9
[09:42:59] Kevin_L_Saltzman sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.3) | E/P: 99.2/65.6 (S: 99.2/65.6) | Tav: 1.0
[09:42:59] Kevin_L_Saltzman sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.3) | E/P: 99.2/64.3 (S: 99.2/64.3) | Tav: 0.8
[09:43:51] Kevin_L_Saltzman sebzest kapott tole: Edie_Morra | sebzes: Ököl (-6.6) | E/P: 99.2/63.0 (S: 99.2/63.0) | Tav: 0.9
[09:45:53] Kevin_L_Saltzman sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.3) | E/P: 99.2/56.4 (S: 99.2/56.4) | Tav: 0.9
[09:51:29] Jin_Sorrentino sebzest kapott tole: Nelson_Washington | sebzes: SilencedColt45 (-13.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 4.0
[09:52:11] Jin_Sorrentino sebzest kapott tole: Nelson_Washington | sebzes: SilencedColt45 (-13.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 1.8
[09:57:24] Steve_J_Sorrentino sebzest kapott tole: Nelson_Washington | sebzes: SilencedColt45 (-13.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 3.4
[10:01:45] Kevin_S_Tomasso sebzest kapott tole: Hugo_Toretto | sebzes: Sniper (-41.2) | E/P: 150.0/150.0 (S: 150.0/150.0) | Tav: 58.0
[10:01:46] Kevin_S_Tomasso sebzest kapott tole: Hugo_Toretto | sebzes: Sniper (-41.2) | E/P: 150.0/108.7 (S: 150.0/108.7) | Tav: 58.0
[10:02:59] Thomas_Berzerk sebzest kapott tole: Tyler_Wish | sebzes: Ököl (-1.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[10:03:19] Thomas_Berzerk sebzest kapott tole: Tyler_Wish | sebzes: Ököl (-1.9) | E/P: 148.0/0.0 (S: 148.0/0.0) | Tav: 0.7
[10:03:19] Thomas_Berzerk sebzest kapott tole: Tyler_Wish | sebzes: Ököl (-5.2) | E/P: 146.0/0.0 (S: 146.0/0.0) | Tav: 0.7
[10:03:29] Thomas_Berzerk sebzest kapott tole: Tyler_Wish | sebzes: Ököl (-1.3) | E/P: 140.7/0.0 (S: 140.7/0.0) | Tav: 1.5
[10:03:45] Thomas_Berzerk sebzest kapott tole: Tyler_Wish | sebzes: Ököl (-1.9) | E/P: 139.4/0.0 (S: 139.4/0.0) | Tav: 0.7
[10:03:47] Thomas_Berzerk sebzest kapott tole: Tyler_Wish | sebzes: Ököl (-1.3) | E/P: 137.4/0.0 (S: 137.4/0.0) | Tav: 0.7
