[01:03:32] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.0
[01:13:54] Patrik_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: AK47 (-40.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.9
[01:13:54] Patrik_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: AK47 (-40.0) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 1.9
[01:13:55] Patrik_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: AK47 (-40.0) | E/P: 69.8/0.0 (S: 69.8/0.0) | Tav: 3.0
[01:13:56] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: AK47 (-40.0) | E/P: 120.0/5.0 (S: 120.0/5.0) | Tav: 3.0
[01:13:56] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: AK47 (-40.0) | E/P: 85.0/0.0 (S: 85.0/0.0) | Tav: 3.0
[01:13:56] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: AK47 (-40.0) | E/P: 45.0/0.0 (S: 45.0/0.0) | Tav: 3.0
[01:14:40] Marcell_O_Neill sebzest kapott tole: Dolph_F_Gates | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.6
[01:14:41] Marcell_O_Neill sebzest kapott tole: Dolph_F_Gates | sebzes: Ököl (-2.3) | E/P: 148.6/0.0 (S: 148.6/0.0) | Tav: 0.6
[01:14:41] Marcell_O_Neill sebzest kapott tole: Dolph_F_Gates | sebzes: Ököl (-3.9) | E/P: 146.3/0.0 (S: 146.3/0.0) | Tav: 1.0
[01:14:42] Marcell_O_Neill sebzest kapott tole: Dolph_F_Gates | sebzes: Ököl (-2.3) | E/P: 142.4/0.0 (S: 142.4/0.0) | Tav: 1.0
[01:14:45] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: AK47 (-40.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 4.8
[01:14:45] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: AK47 (-40.0) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 4.8
[01:14:45] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: AK47 (-40.0) | E/P: 70.0/0.0 (S: 70.0/0.0) | Tav: 4.8
[01:14:45] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: AK47 (-40.0) | E/P: 30.0/0.0 (S: 30.0/0.0) | Tav: 4.8
[01:14:54] Marcell_O_Neill sebzest kapott tole: Dolph_F_Gates | sebzes: Ököl (-1.3) | E/P: 140.0/0.0 (S: 140.0/0.0) | Tav: 0.7
[01:14:54] Marcell_O_Neill sebzest kapott tole: Dolph_F_Gates | sebzes: Ököl (-2.3) | E/P: 138.7/0.0 (S: 138.7/0.0) | Tav: 0.8
[01:14:55] Marcell_O_Neill sebzest kapott tole: Dolph_F_Gates | sebzes: Ököl (-3.9) | E/P: 136.4/0.0 (S: 136.4/0.0) | Tav: 0.8
[01:14:57] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: AK47 (-40.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[02:07:19] Patrik_O_Neill sebzest kapott tole: Michael_Franzese | sebzes: Ököl (-5.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.6
[02:07:30] Patrik_O_Neill sebzest kapott tole: Michael_Franzese | sebzes: Ököl (-1.9) | E/P: 144.7/0.0 (S: 144.7/0.0) | Tav: 1.1
[02:07:31] Patrik_O_Neill sebzest kapott tole: Michael_Franzese | sebzes: Ököl (-5.2) | E/P: 142.7/0.0 (S: 142.7/0.0) | Tav: 1.4
[02:10:45] Patrik_O_Neill sebzest kapott tole: Michael_Franzese | sebzes: Ököl (-1.9) | E/P: 137.4/0.0 (S: 137.4/0.0) | Tav: 0.7
[02:10:45] Patrik_O_Neill sebzest kapott tole: Michael_Franzese | sebzes: Ököl (-5.2) | E/P: 135.4/0.0 (S: 135.4/0.0) | Tav: 0.7
[02:10:47] Patrik_O_Neill sebzest kapott tole: Michael_Franzese | sebzes: Ököl (-5.2) | E/P: 130.2/0.0 (S: 130.2/0.0) | Tav: 0.7
[02:10:48] Patrik_O_Neill sebzest kapott tole: Michael_Franzese | sebzes: Ököl (-6.6) | E/P: 124.9/0.0 (S: 124.9/0.0) | Tav: 0.6
[02:10:48] Patrik_O_Neill sebzest kapott tole: Michael_Franzese | sebzes: Ököl (-6.6) | E/P: 118.3/0.0 (S: 118.3/0.0) | Tav: 0.6
[02:10:50] Michael_Franzese sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-2.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.1
[02:22:21] Patrik_O_Neill sebzest kapott tole: Michael_Franzese | sebzes: Ököl (-2.3) | E/P: 111.7/0.0 (S: 111.7/0.0) | Tav: 1.0
[02:22:22] Patrik_O_Neill sebzest kapott tole: Michael_Franzese | sebzes: Ököl (-3.9) | E/P: 109.4/0.0 (S: 109.4/0.0) | Tav: 1.0
[18:21:33] Michael_Franzese sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.5
[18:21:34] Michael_Franzese sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 150.0/3.0 (S: 150.0/3.0) | Tav: 1.0
[22:14:55] Jose_Washington sebzest kapott tole: Nelson_Washington | sebzes: Ököl (-1.3) | E/P: 116.6/100.0 (S: 116.6/100.0) | Tav: 0.7
[22:14:56] Jose_Washington sebzest kapott tole: Nelson_Washington | sebzes: Ököl (-2.3) | E/P: 116.6/98.6 (S: 116.6/98.6) | Tav: 1.0
[22:22:31] Michael_Franzese sebzest kapott tole: KrisT_Roscoe | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[22:32:19] Kevin_S_Tomasso sebzest kapott tole: Henrik_T_Scaletta | sebzes: Sniper (-41.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 129.6
[22:32:20] Kevin_S_Tomasso sebzest kapott tole: Henrik_T_Scaletta | sebzes: Sniper (-41.2) | E/P: 150.0/58.7 (S: 150.0/58.7) | Tav: 129.6
[22:34:22] Damien_Creed sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 62.1
[22:34:31] James_Creed sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 140.0/100.0 (S: 140.0/100.0) | Tav: 57.9
[22:34:31] James_Creed sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 140.0/80.0 (S: 140.0/80.0) | Tav: 57.9
[22:34:32] James_Creed sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 140.0/60.0 (S: 140.0/60.0) | Tav: 58.4
[22:34:44] Damien_Creed sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 150.0/80.0 (S: 150.0/80.0) | Tav: 32.6
[22:35:30] Ralf_S_Tomasso sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Sniper (-41.2) | E/P: 150.0/150.0 (S: 150.0/150.0) | Tav: 151.4
