[17:03:36] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 122.9/0.0 (S: 122.9/0.0) | Tav: 1.2
[17:03:38] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-2.6) | E/P: 116.3/0.0 (S: 116.3/0.0) | Tav: 1.1
[17:03:38] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-1.6) | E/P: 113.6/0.0 (S: 113.6/0.0) | Tav: 1.1
[17:03:43] Ralf_S_Tomasso sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.9) | E/P: 112.3/0.0 (S: 112.3/0.0) | Tav: 1.6
[17:03:43] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-1.6) | E/P: 112.0/0.0 (S: 112.0/0.0) | Tav: 1.0
[17:03:44] Ralf_S_Tomasso sebzest kapott tole: Edie_Morra | sebzes: Ököl (-5.2) | E/P: 110.3/0.0 (S: 110.3/0.0) | Tav: 0.6
[17:03:44] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-4.2) | E/P: 110.3/0.0 (S: 110.3/0.0) | Tav: 0.6
[17:03:45] Ralf_S_Tomasso sebzest kapott tole: Edie_Morra | sebzes: Ököl (-6.6) | E/P: 105.1/0.0 (S: 105.1/0.0) | Tav: 0.8
[17:03:45] Ralf_S_Tomasso sebzest kapott tole: Edie_Morra | sebzes: Ököl (-6.6) | E/P: 98.5/0.0 (S: 98.5/0.0) | Tav: 0.8
[17:03:45] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 106.1/0.0 (S: 106.1/0.0) | Tav: 0.8
[17:03:45] Ralf_S_Tomasso sebzest kapott tole: Edie_Morra | sebzes: Ököl (-6.6) | E/P: 91.9/0.0 (S: 91.9/0.0) | Tav: 0.8
[17:03:46] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 99.5/0.0 (S: 99.5/0.0) | Tav: 0.8
[17:03:46] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-6.6) | E/P: 92.9/0.0 (S: 92.9/0.0) | Tav: 0.8
[17:03:46] Ralf_S_Tomasso sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.9) | E/P: 85.3/0.0 (S: 85.3/0.0) | Tav: 0.7
[17:03:47] Ralf_S_Tomasso sebzest kapott tole: Edie_Morra | sebzes: Ököl (-5.2) | E/P: 83.3/0.0 (S: 83.3/0.0) | Tav: 0.7
[17:03:47] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: Ököl (-2.6) | E/P: 86.3/0.0 (S: 86.3/0.0) | Tav: 0.7
